Timestamp:  12:17:44  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:49  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:54  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:17:59  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:04  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:18:09  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:14  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:18:19  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:24  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:29  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:34  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:39  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:44  | %CPU idle:  99,8  | %CPU user:  0,0  | %CPU system:  0,2
Timestamp:  12:18:49  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:54  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:18:59  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:19:05  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:19:10  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:19:15  | %CPU idle:  99,6  | %CPU user:  0,1  | %CPU system:  0,2
Timestamp:  12:19:20  | %CPU idle:  97,5  | %CPU user:  0,7  | %CPU system:  1,2
Timestamp:  12:19:25  | %CPU idle:  94,7  | %CPU user:  1,6  | %CPU system:  3,0
Timestamp:  12:19:30  | %CPU idle:  94,1  | %CPU user:  0,8  | %CPU system:  3,7
Timestamp:  12:19:35  | %CPU idle:  92,1  | %CPU user:  1,4  | %CPU system:  2,9
Timestamp:  12:19:40  | %CPU idle:  97,3  | %CPU user:  0,4  | %CPU system:  1,7
Timestamp:  12:19:45  | %CPU idle:  96,0  | %CPU user:  1,0  | %CPU system:  2,1
Timestamp:  12:19:50  | %CPU idle:  99,5  | %CPU user:  0,2  | %CPU system:  0,2
Timestamp:  12:19:55  | %CPU idle:  98,5  | %CPU user:  0,3  | %CPU system:  0,9
Timestamp:  12:20:00  | %CPU idle:  98,5  | %CPU user:  0,4  | %CPU system:  0,9
Timestamp:  12:20:05  | %CPU idle:  99,1  | %CPU user:  0,2  | %CPU system:  0,5
Timestamp:  12:20:10  | %CPU idle:  99,8  | %CPU user:  0,1  | %CPU system:  0,1
Timestamp:  12:20:15  | %CPU idle:  96,5  | %CPU user:  0,3  | %CPU system:  2,1
Timestamp:  12:20:20  | %CPU idle:  99,0  | %CPU user:  0,3  | %CPU system:  0,5
