Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
20:05:35,2570492,628044,15.56
20:05:38,2570492,628040,15.56
20:05:41,2570492,628036,15.56
20:05:45,2570368,628156,15.56
20:05:48,2570368,628156,15.56
20:05:51,2570368,628156,15.56
20:05:54,2570368,628156,15.56
20:05:57,2570368,628156,15.56
20:06:00,2570368,628156,15.56
20:06:03,2570368,628156,15.56
20:06:06,2570368,628156,15.56
20:06:09,2570368,628156,15.56
20:06:12,2570368,628148,15.56
20:06:15,2570368,628148,15.56
20:06:18,2570368,628148,15.56
20:06:21,2570368,628148,15.56
20:06:24,2570368,628148,15.56
20:06:27,2570368,628148,15.56
20:06:30,2570368,628148,15.56
20:06:33,2570368,628148,15.56
20:06:36,2570368,628148,15.56
20:06:39,2570244,628272,15.56
20:06:42,2570244,628272,15.56
20:06:45,2570244,628272,15.56
20:06:48,2570244,628272,15.56
20:06:51,2570244,628272,15.56
20:06:54,2570368,628148,15.56
20:06:57,2570368,628148,15.56
20:07:00,2570368,628148,15.56
20:07:03,2570368,628148,15.56
20:07:06,2570368,628148,15.56
20:07:09,2570368,628148,15.56
20:07:12,2570368,628148,15.56
20:07:15,2570368,628148,15.56
20:07:18,2570368,628148,15.56
20:07:21,2570368,628148,15.56
20:07:24,2570368,628148,15.56
20:07:27,2570368,628144,15.56
20:07:30,2570368,628140,15.56
20:07:33,2570368,628140,15.56
20:07:36,2570368,628136,15.56
20:07:39,2570368,628136,15.56
20:07:42,2570368,628136,15.56
20:07:45,2570368,628136,15.56
20:07:48,2570368,628136,15.56
20:07:51,2570244,628228,15.56
20:07:54,2570244,628228,15.56
20:07:57,2570244,628220,15.56
20:08:00,2570244,628220,15.56
20:08:03,2570244,628220,15.56
20:08:06,2570244,628220,15.56
20:08:09,2570244,628220,15.56
20:08:12,2570244,628220,15.56
20:08:15,2570244,628220,15.56
20:08:18,2570244,628220,15.56
20:08:21,2570244,628220,15.56
20:08:24,2570244,628220,15.56
20:08:27,2570244,628220,15.56
20:08:30,2570244,628220,15.56
20:08:33,2570244,628220,15.56
20:08:36,2570244,628220,15.56
20:08:39,2570244,628220,15.56
20:08:42,2570244,628220,15.56
20:08:45,2570244,628220,15.56
20:08:48,2570244,628220,15.56
20:08:51,2570244,628220,15.56
20:08:54,2570244,628220,15.56
20:08:57,2570244,628220,15.56
20:09:00,2570244,628220,15.56
20:09:03,2570244,628220,15.56
20:09:07,2570244,628220,15.56
20:09:10,2570244,628220,15.56
20:09:13,2570244,628220,15.56
20:09:16,2570120,628344,15.57
20:09:19,2570120,628344,15.57
20:09:22,2569996,628456,15.57
20:09:25,2570120,628332,15.57
20:09:28,2570120,628332,15.57
20:09:31,2570244,628208,15.56
20:09:34,2570244,628208,15.56
20:09:37,2570120,628332,15.57
20:09:40,2570120,628332,15.57
20:09:43,2570120,628332,15.57
20:09:46,2570120,628332,15.57
20:09:49,2570120,628332,15.57
20:09:52,2570120,628332,15.57
20:09:55,2570120,628332,15.57
20:09:58,2570120,628324,15.57
20:10:01,2570120,628324,15.57
20:10:04,2569996,628448,15.57
20:10:07,2569996,628448,15.57
20:10:10,2569996,628448,15.57
20:10:13,2569996,628448,15.57
20:10:16,2569996,628448,15.57
20:10:19,2569996,628448,15.57
20:10:22,2569996,628448,15.57
20:10:25,2570120,628324,15.57
20:10:28,2570120,628324,15.57
20:10:31,2569996,628448,15.57
20:10:34,2569996,628448,15.57
20:10:37,2569996,628448,15.57
20:10:40,2569996,628448,15.57
20:10:43,2569996,628448,15.57
20:10:46,2569996,628448,15.57
20:10:49,2569996,628448,15.57
20:10:52,2569996,628448,15.57
20:10:55,2570120,628324,15.57
20:10:58,2570120,628324,15.57
20:11:01,2570120,628324,15.57
20:11:04,2570120,628324,15.57
20:11:07,2570120,628324,15.57
20:11:10,2570120,628324,15.57
20:11:13,2570120,628324,15.57
20:11:16,2570120,628324,15.57
20:11:19,2570120,628324,15.57
20:11:22,2570120,628324,15.57
20:11:25,2570120,628324,15.57
20:11:28,2570120,628324,15.57
20:11:31,2569996,628436,15.57
20:11:34,2569996,628436,15.57
20:11:37,2569996,628436,15.57
20:11:40,2569996,628436,15.57
20:11:43,2569996,628436,15.57
20:11:46,2569996,628428,15.57
20:11:49,2569996,628428,15.57
20:11:52,2569996,628428,15.57
20:11:55,2569996,628428,15.57
20:11:58,2569996,628428,15.57
20:12:01,2569996,628428,15.57
20:12:04,2569996,628428,15.57
20:12:07,2570120,628304,15.56
20:12:10,2570120,628304,15.56
20:12:13,2569996,628428,15.57
20:12:16,2569996,628428,15.57
20:12:19,2569996,628428,15.57
20:12:22,2569996,628428,15.57
20:12:25,2569996,628428,15.57
20:12:28,2569996,628428,15.57
20:12:31,2569996,628428,15.57
20:12:34,2569996,628428,15.57
20:12:37,2569996,628428,15.57
20:12:40,2570120,628304,15.56
20:12:43,2570120,628304,15.56
20:12:46,2570120,628304,15.56
20:12:49,2570120,628304,15.56
20:12:52,2570120,628304,15.56
20:12:55,2570244,628180,15.56
20:12:58,2570244,628180,15.56
20:13:01,2570244,628176,15.56
20:13:04,2570244,628176,15.56
20:13:07,2570244,628176,15.56
20:13:10,2570244,628168,15.56
20:13:13,2570244,628168,15.56
20:13:16,2570244,628168,15.56
20:13:20,2570244,628168,15.56
20:13:23,2570244,628168,15.56
20:13:26,2570244,628168,15.56
20:13:29,2570244,628168,15.56
20:13:32,2570244,628168,15.56
20:13:35,2570244,628168,15.56
20:13:38,2570244,628168,15.56
20:13:41,2570244,628168,15.56
20:13:44,2570244,628168,15.56
20:13:47,2570244,628168,15.56
20:13:50,2570492,627912,15.55
20:13:53,2570492,627912,15.55
20:13:56,2570492,627912,15.55
20:13:59,2570368,628036,15.56
20:14:02,2570368,628036,15.56
20:14:05,2570368,628036,15.56
20:14:08,2570368,628036,15.56
20:14:11,2570368,628036,15.56
20:14:14,2570236,628168,15.56
20:14:17,2570360,628044,15.56
20:14:20,2570492,627904,15.55
20:14:23,2570492,627904,15.55
20:14:26,2570492,627904,15.55
20:14:29,2570492,627904,15.55
20:14:32,2570492,627904,15.55
20:14:35,2570492,627904,15.55
20:14:38,2570492,627904,15.55
20:14:41,2570492,627904,15.55
20:14:44,2570492,627904,15.55
20:14:47,2570492,627904,15.55
20:14:50,2570492,627904,15.55
20:14:53,2570492,627896,15.55
20:14:56,2570492,627888,15.55
20:14:59,2570492,627888,15.55
20:15:02,2570492,627888,15.55
20:15:05,2570492,627888,15.55
20:15:08,2570492,627888,15.55
20:15:11,2570492,627888,15.55
20:15:14,2570492,627888,15.55
20:15:17,2570492,627888,15.55
20:15:20,2570492,627888,15.55
20:15:23,2570492,627888,15.55
20:15:26,2570492,627888,15.55
20:15:29,2570492,627888,15.55
20:15:32,2570492,627888,15.55
20:15:35,2570492,627888,15.55
20:15:38,2570492,627888,15.55
20:15:41,2570492,627888,15.55
20:15:44,2570492,627876,15.55
20:15:47,2570368,628000,15.56
20:15:50,2570368,628000,15.56
20:15:53,2570368,628000,15.56
20:15:56,2570368,628000,15.56
20:15:59,2570368,628000,15.56
20:16:02,2570368,628000,15.56
20:16:05,2570368,628000,15.56
20:16:08,2570368,628000,15.56
20:16:11,2570368,628000,15.56
20:16:14,2570368,628000,15.56
20:16:17,2570368,628000,15.56
20:16:20,2570368,628000,15.56
20:16:23,2570368,628000,15.56
20:16:26,2570368,628000,15.56
20:16:29,2570368,628000,15.56
20:16:32,2570368,628000,15.56
20:16:35,2570368,628000,15.56
20:16:38,2570368,628000,15.56
20:16:41,2570368,628000,15.56
20:16:44,2570368,628000,15.56
20:16:47,2570368,628000,15.56
20:16:50,2570120,628248,15.56
20:16:53,2570120,628248,15.56
20:16:56,2570120,628248,15.56
20:16:59,2570120,628248,15.56
20:17:03,2569616,628724,15.58
20:17:06,2569624,628716,15.57
20:17:09,2569624,628716,15.57
20:17:12,2569624,628716,15.57
20:17:15,2569624,628716,15.57
20:17:18,2569624,628716,15.57
20:17:21,2569624,628716,15.57
20:17:24,2569624,628716,15.57
20:17:27,2569624,628700,15.57
20:17:30,2569624,628700,15.57
20:17:33,2569624,628700,15.57
20:17:36,2569624,628700,15.57
20:17:39,2569624,628700,15.57
20:17:42,2569624,628700,15.57
20:17:45,2569624,628700,15.57
20:17:48,2569748,628572,15.57
20:17:51,2569748,628572,15.57
20:17:54,2569748,628572,15.57
20:17:57,2569748,628572,15.57
20:18:00,2569748,628572,15.57
20:18:03,2569748,628572,15.57
20:18:06,2569748,628572,15.57
20:18:09,2569872,628448,15.57
20:18:12,2569872,628448,15.57
20:18:15,2569872,628448,15.57
20:18:18,2569872,628448,15.57
20:18:21,2569748,628572,15.57
20:18:24,2569748,628572,15.57
20:18:27,2569748,628572,15.57
20:18:30,2569872,628448,15.57
20:18:33,2569748,628572,15.57
